# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
5.610479760324701077e-10, 6.404973697887554169e+08, 5.686892773878954649e+08
5.902010801718442306e-10, 5.960409345275089741e+08, 5.567266863741607666e+08
6.208690342300637909e-10, 5.525084412410484552e+08, 5.428921508923763037e+08
6.531305526474729939e-10, 5.128649166234342456e+08, 5.301353698651363850e+08
6.870684400142317101e-10, 4.711425641994283199e+08, 5.123252369320273399e+08
7.227698036021688210e-10, 4.349989501120330691e+08, 4.976130207208858132e+08
7.603262769401807175e-10, 3.980492795062453747e+08, 4.790170957360214591e+08
7.998342550070276743e-10, 3.660830962197031975e+08, 4.634523024352869987e+08
8.413951416451946904e-10, 3.335205320114018321e+08, 4.441807382025097609e+08
8.851156098308355951e-10, 3.028342410640819669e+08, 4.242819102906177044e+08
9.311078754678309670e-10, 2.758445649449438453e+08, 4.065622037782409787e+08
9.794899854086980821e-10, 2.494009183182917535e+08, 3.867001399069914222e+08
1.030386120441616095e-09, 2.244401648412907422e+08, 3.660928798455865383e+08
1.083926914021204014e-09, 2.021765561414340138e+08, 3.469258565299609303e+08
1.140249787561167319e-09, 1.814853375671260357e+08, 3.276146978047886491e+08
1.199499303149378128e-09, 1.623393382567468584e+08, 3.082920976580026150e+08
1.261827534590670558e-09, 1.445624578113620281e+08, 2.888097190913078785e+08
1.327394457729740273e-09, 1.288516629428403676e+08, 2.708101169787080288e+08
1.396368361055936317e-09, 1.143188073255500495e+08, 2.527621741495568454e+08
1.468926277643866174e-09, 1.007602018362884820e+08, 2.343710583626301885e+08
1.545254439538414134e-09, 8.888605579628756642e+07, 2.175054832065455914e+08
1.625548755750481709e-09, 7.881872174300593138e+07, 2.029031110989434719e+08
1.710015315090286320e-09, 6.939083847340591252e+07, 1.879253548196563721e+08
1.798870915128787322e-09, 6.089375961658196896e+07, 1.734926971872179508e+08
1.892343618644975688e-09, 5.340619540248904377e+07, 1.600761105647582412e+08
1.990673338987188583e-09, 4.676272469402332604e+07, 1.474560302132018805e+08
2.094112455850895670e-09, 4.078831659554859996e+07, 1.353093485094183087e+08
2.202926463053456075e-09, 3.534022007097391784e+07, 1.233366313720214814e+08
2.317394649968475145e-09, 3.065446525254320353e+07, 1.125509040506491065e+08
2.437810818368750009e-09, 2.651254399202094972e+07, 1.024096158619358540e+08
2.564484036517716058e-09, 2.283833109823345393e+07, 9.280888606871087849e+07
2.697739432444920460e-09, 1.970537593719299510e+07, 8.424568007230381668e+07
2.837919028441557893e-09, 1.701983531439768150e+07, 7.655224759834416211e+07
2.985382618917963357e-09, 1.465302825674625859e+07, 6.933806450051099062e+07
3.140508693876216431e-09, 1.256461620854389668e+07, 6.255146044204577804e+07
3.303695410368142213e-09, 1.080325526992945559e+07, 5.658340001728431135e+07
3.475361614432053799e-09, 9.292806390483878553e+06, 5.120706216007339209e+07
3.655947916131246718e-09, 7.978953651204410940e+06, 4.625727029831827432e+07
3.845917820453534961e-09, 6.845307501159698702e+06, 4.175233380929482728e+07
4.045758916974428963e-09, 5.857241958283065818e+06, 3.758698400859332085e+07
4.255984131337434845e-09, 5.011965260043807328e+06, 3.383855551954311877e+07
4.477133041763623226e-09, 4.281355103785920888e+06, 3.041217942344472557e+07
4.709773263969519825e-09, 3.657228106599564198e+06, 2.733279923590414226e+07
4.954501908047895353e-09, 3.131663184702134691e+06, 2.462500262003942207e+07
