# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
3.741105882720528966e-10, 3.273564644786844775e+07, 1.883757808566625463e+06
3.935500754557772142e-10, 3.473217530651114136e+07, 2.102704506455893163e+06
4.139996748197304272e-10, 3.708374338246244192e+07, 2.361923087477860507e+06
4.355118736855688095e-10, 3.996311895386486501e+07, 2.677507130973986350e+06
4.581418867145339649e-10, 4.318123908578988165e+07, 3.043712218272997066e+06
4.819477976251271319e-10, 4.602794774250800908e+07, 3.413192832651504781e+06
5.069907082747033666e-10, 4.990782214559905976e+07, 3.893452613489803858e+06
5.333348954876202279e-10, 5.363457658939722925e+07, 4.401856371783314273e+06
5.610479760324701077e-10, 5.713865672715330869e+07, 4.933363446664275602e+06
5.902010801718442306e-10, 6.166727725968199968e+07, 5.601300337494634092e+06
6.208690342300637909e-10, 6.626427276991374791e+07, 6.331886889047867619e+06
6.531305526474729939e-10, 7.148656829090359807e+07, 7.185585399640190415e+06
6.870684400142317101e-10, 7.682155590682853758e+07, 8.123558784335314296e+06
7.227698036021688210e-10, 8.261431080492427945e+07, 9.190569318557057530e+06
7.603262769401807175e-10, 8.854403927009299397e+07, 1.036260950537637994e+07
7.998342550070276743e-10, 9.532441182750454545e+07, 1.173643085445701703e+07
8.413951416451946904e-10, 1.017879662793748230e+08, 1.318394729658352956e+07
8.851156098308355951e-10, 1.087542467084429562e+08, 1.481890615647919662e+07
9.311078754678309670e-10, 1.159183521764320582e+08, 1.661670494984228723e+07
9.794899854086980821e-10, 1.227096566605035067e+08, 1.850522453903733939e+07
1.030386120441616095e-09, 1.296677972738097012e+08, 2.057169035464607552e+07
1.083926914021204014e-09, 1.368636731403110623e+08, 2.284284513401233405e+07
1.140249787561167319e-09, 1.439280840669862926e+08, 2.527154306049299613e+07
1.199499303149378128e-09, 1.506032264887627661e+08, 2.781930763535840437e+07
1.261827534590670558e-09, 1.569427188062920272e+08, 3.049860704675233737e+07
1.327394457729740273e-09, 1.632936296541264951e+08, 3.338340722294147313e+07
1.396368361055936317e-09, 1.690956490937878489e+08, 3.636807047678201646e+07
1.468926277643866174e-09, 1.740368797140658200e+08, 3.937858613903589547e+07
1.545254439538414134e-09, 1.789544172853248715e+08, 4.259850523320376873e+07
1.625548755750481709e-09, 1.827310611830522716e+08, 4.576126136493215710e+07
1.710015315090286320e-09, 1.853960516480509043e+08, 4.884520701924934983e+07
1.798870915128787322e-09, 1.871059559545103014e+08, 5.186165871607437730e+07
1.892343618644975688e-09, 1.881346649616364241e+08, 5.486126237388724834e+07
1.990673338987188583e-09, 1.881919765718688667e+08, 5.773502017335295677e+07
2.094112455850895670e-09, 1.872263769385100901e+08, 6.042940218457163125e+07
2.202926463053456075e-09, 1.851024172370116413e+08, 6.285482614307407290e+07
2.317394649968475145e-09, 1.822317147371178865e+08, 6.510254859092557430e+07
2.437810818368750009e-09, 1.781470558781296909e+08, 6.695777977538317442e+07
2.564484036517716058e-09, 1.735963193392519057e+08, 6.864602872233831882e+07
2.697739432444920460e-09, 1.684427773165570498e+08, 7.007811604327104986e+07
2.837919028441557893e-09, 1.626391905285710394e+08, 7.118900277652771771e+07
2.985382618917963357e-09, 1.561099171637147069e+08, 7.189174361646333337e+07
3.140508693876216431e-09, 1.494266105850339234e+08, 7.240012934229315817e+07
3.303695410368142213e-09, 1.423338185396906435e+08, 7.255814533730895817e+07
3.475361614432053799e-09, 1.349721674509595633e+08, 7.239240816770754755e+07
3.655947916131246718e-09, 1.274739598813891709e+08, 7.193556119400568306e+07
3.845917820453534961e-09, 1.198427612966156900e+08, 7.115609504621009529e+07
4.045758916974428963e-09, 1.123920421743372381e+08, 7.021308417759875953e+07
4.255984131337434845e-09, 1.051578295493188947e+08, 6.912100106880550086e+07
4.477133041763623226e-09, 9.793667436469191313e+07, 6.773358656513316929e+07
4.709773263969519825e-09, 9.095418076617613435e+07, 6.618764391728036851e+07
4.954501908047895353e-09, 8.426473112793698907e+07, 6.452091582780158520e+07
5.211947111050799924e-09, 7.780389335067306459e+07, 6.268470553348533064e+07
5.482769649208535777e-09, 7.173842439681275189e+07, 6.081673405389011651e+07
5.767664633922509555e-09, 6.591199561516036838e+07, 5.879605331133396178e+07
6.067363295885059185e-09, 6.044762503555953503e+07, 5.673954284082589298e+07
6.382634861905482558e-09, 5.529051697509877384e+07, 5.461180382376688719e+07
6.714288529259509001e-09, 5.043595552600102872e+07, 5.242178773677363247e+07
7.063175542629608811e-09, 4.593108608261172473e+07, 5.023670597489801049e+07
7.430191378967006415e-09, 4.170939405351617932e+07, 4.800632970386680216e+07
7.816278045883292923e-09, 3.778164214946521819e+07, 4.576182499347937107e+07
8.222426499470713005e-09, 3.409517940850753337e+07, 4.345917335398565233e+07
