# Columns: R_MC [pc], P(R_MC) [1/pc], Cross-section weighted P(R_MC) [1/pc]
6.208690342300637909e-10, 9.276651631631318480e+06, 1.064207194457649738e+08
6.531305526474729939e-10, 7.924975980153650977e+06, 9.563946023267965019e+07
6.870684400142317101e-10, 6.770219309489645995e+06, 8.595009025205683708e+07
7.227698036021688210e-10, 5.783697570568430237e+06, 7.724205939619971812e+07
7.603262769401807175e-10, 4.940905447131207213e+06, 6.941602211808417737e+07
7.998342550070276743e-10, 4.220897536202358082e+06, 6.238255466408317536e+07
8.413951416451946904e-10, 3.605795671939710155e+06, 5.606152328092850000e+07
8.851156098308355951e-10, 3.080316230569999665e+06, 5.038077016662614048e+07
9.311078754678309670e-10, 2.631402511289431248e+06, 4.527545222963414341e+07
9.794899854086980821e-10, 2.247899989837351255e+06, 4.068729557783292234e+07
1.030386120441616095e-09, 1.920279523756722221e+06, 3.656393638500083238e+07
1.083926914021204014e-09, 1.640399348388785264e+06, 3.285829940591187775e+07
1.140249787561167319e-09, 1.401304790308136493e+06, 2.952809745873479545e+07
1.199499303149378128e-09, 1.197051931707186624e+06, 2.653527530308891460e+07
1.261827534590670558e-09, 1.022565707222432597e+06, 2.384569471053254232e+07
1.327394457729740273e-09, 8.735080765922460705e+05, 2.142862244386237860e+07
1.396368361055936317e-09, 7.461747036011915188e+05, 1.925647844256358966e+07
1.468926277643866174e-09, 6.373990698331003077e+05, 1.730442838102483749e+07
1.545254439538414134e-09, 5.444774405826138100e+05, 1.555019006886704639e+07
1.625548755750481709e-09, 4.650994490582270082e+05, 1.397372312421293929e+07
1.710015315090286320e-09, 3.972915344155731145e+05, 1.255702221150953323e+07
1.798870915128787322e-09, 3.393675842989691882e+05, 1.128390248679589480e+07
1.892343618644975688e-09, 2.898870058109409874e+05, 1.013981275356087647e+07
1.990673338987188583e-09, 2.476193044648749346e+05, 9.111681696365617216e+06
2.094112455850895670e-09, 2.115132389556659327e+05, 8.187760254137753509e+06
2.202926463053456075e-09, 1.806708797057161282e+05, 7.357494472772075795e+06
2.317394649968475145e-09, 1.543249667051847209e+05, 6.611392477811323479e+06
2.437810818368750009e-09, 1.318199741295471322e+05, 5.940920057117864490e+06
2.564484036517716058e-09, 1.125961154717570316e+05, 5.338416452148559503e+06
2.697739432444920460e-09, 9.617518628982800874e+04, 4.796997526079855859e+06
2.837919028441557893e-09, 8.214852658658799191e+04, 4.310469303056643344e+06
2.985382618917963357e-09, 7.016716833270857751e+04, 3.873272031362036243e+06
3.140508693876216431e-09, 5.993287150078491686e+04, 3.480401979353146628e+06
3.303695410368142213e-09, 5.119096341664489591e+04, 3.127367710246961564e+06
3.475361614432053799e-09, 4.372387219765964255e+04, 2.810131813964382280e+06
3.655947916131246718e-09, 3.734571958836953854e+04, 2.525064653039207216e+06
3.845917820453534961e-09, 3.189776279679217623e+04, 2.268907101245951839e+06
4.045758916974428963e-09, 2.724436809699289370e+04, 2.038728234088442754e+06
4.255984131337434845e-09, 2.326966032665088278e+04, 1.831893006429932546e+06
4.477133041763623226e-09, 1.987468798159717335e+04, 1.646035767679607263e+06
4.709773263969519825e-09, 1.697490458816371392e+04, 1.479028959336464992e+06
4.954501908047895353e-09, 1.449810244360211436e+04, 1.328961695114033297e+06
5.211947111050799924e-09, 1.238259900708585337e+04, 1.194116585054236697e+06
5.482769649208535777e-09, 1.057570847751331348e+04, 1.072950677106760209e+06
5.767664633922509555e-09, 9.032413046949051932e+03, 9.640760131790378364e+05
6.067363295885059185e-09, 7.714269516286343787e+03, 8.662463671943483641e+05
6.382634861905482558e-09, 6.588436467587705920e+03, 7.783414168618596159e+05
6.714288529259509001e-09, 5.626867127639820865e+03, 6.993550777150656795e+05
7.063175542629608811e-09, 4.805600295621852638e+03, 6.283827543995490996e+05
7.430191378967006415e-09, 4.104169707109797855e+03, 5.646116343374507269e+05
7.816278045883292923e-09, 3.505089311736754098e+03, 5.073106560267318273e+05
8.222426499470713005e-09, 2.993434487603256912e+03, 4.558244846555532422e+05
8.649679187756937814e-09, 2.556447311731048103e+03, 4.095627783020387287e+05
9.099132726322508595e-09, 2.183233673516260296e+03, 3.679954815749814734e+05
9.571940712948442686e-09, 1.864488904595382792e+03, 3.306463534590750933e+05
1.006931668851804562e-08, 1.592266513665143066e+03, 2.970876236793699209e+05
1.059253725177287621e-08, 1.359778725781869753e+03, 2.669348421443938278e+05
1.114294533591729230e-08, 1.161226593580261124e+03, 2.398422850010292314e+05
1.172195365548130236e-08, 9.916570001097553586e+02, 2.154992362222910160e+05
1.233104833228909634e-08, 8.468424913283342903e+02, 1.936271599806506711e+05
1.297179270983955861e-08, 7.231692996700164713e+02, 1.739751042879297456e+05
1.364583136588923983e-08, 6.175511267158173041e+02, 1.563175911918290367e+05
1.435489433353654691e-08, 5.273542422617003922e+02, 1.404525842773280456e+05
