# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
8.633514612808796301e+03, 9.997161617447209991e-01, 1.004773002267082594e+07, 1.004487809251167625e+07, 1.003656009265819006e+07, 2.378753921549493953e+03, 2.376479508298142264e+03
9.644946775573191189e+03, 9.997901840958836051e-01, 1.031794396874743327e+07, 1.031577910000500828e+07, 1.030911785316552036e+07, 2.412351428870158543e+03, 2.410545855716270580e+03
1.077487008195092858e+04, 9.997996095180688991e-01, 1.052518068218122423e+07, 1.052307153615191020e+07, 1.051913681665289588e+07, 2.470159237032967212e+03, 2.468743143027931183e+03
1.203716598799184794e+04, 9.998639946936954681e-01, 1.064086291273487732e+07, 1.063941569891508669e+07, 1.063661602150925249e+07, 2.513837915107275876e+03, 2.512334985607702038e+03
1.344734218792855427e+04, 9.999328177859512223e-01, 1.078266162271244265e+07, 1.078193721963129006e+07, 1.078030788590592891e+07, 2.575033526847781104e+03, 2.574175695352697858e+03
1.502272313097934057e+04, 9.999630533120800191e-01, 1.081520733076494560e+07, 1.081480774467490613e+07, 1.081364014940492809e+07, 2.555682643189810278e+03, 2.554576752642971769e+03
1.678266285754611454e+04, 9.999830046527992122e-01, 1.079485969186842442e+07, 1.079467622947997786e+07, 1.079341185867807828e+07, 2.600165266501940550e+03, 2.598077779770938378e+03
1.874878276956548143e+04, 9.999846580954555586e-01, 1.073949313719977252e+07, 1.073932837292120606e+07, 1.073786202981191315e+07, 2.538790048191864571e+03, 2.538423163174448291e+03
2.094523725609495159e+04, 9.999938219193624800e-01, 1.067822906864472106e+07, 1.067816309768446907e+07, 1.067704993706792779e+07, 2.494288455852518382e+03, 2.493813671947972125e+03
2.339901043742664478e+04, 9.999921751365867806e-01, 1.057883870555183478e+07, 1.057875592758389376e+07, 1.057768774791965075e+07, 2.469863414591955916e+03, 2.469090516715164995e+03
2.614024767332138435e+04, 9.999879392046422399e-01, 1.034615999781789817e+07, 1.034603521489942633e+07, 1.034511043282311223e+07, 2.372683419690630217e+03, 2.372007668270751310e+03
2.920262590804389038e+04, 9.999848222200520276e-01, 1.008025705550125428e+07, 1.008010405957784690e+07, 1.007974767735140957e+07, 2.307683581211367709e+03, 2.307683489527066286e+03
3.262376740200186396e+04, 1.000000000000000000e+00, 9.835754684629390016e+06, 9.835754684629390016e+06, 9.835409549078455195e+06, 2.266654066569351016e+03, 2.266653931426532381e+03
