# Columns: galactocentric radius [pc], survival probability, Initial AMC density [Msun/pc^3], Surviving AMC density [Msun/pc^3], Surviving AMC density with mass-loss < 90% [Msun/pc^3], Surviving AMC density with R_AMC > R_AS [Msun/pc^3], Surviving AMC density with R_AMC > R_AS *AND* mass-loss < 90% [Msun/pc^3]
9.417670445762749978e+02, 6.832846389118049091e-01, 2.890087044530106708e+06, 1.974752082645439310e+06, 2.496038680358895799e+05, 9.348425765756800274e+02, 5.145749020124815161e+02
1.052096791085630684e+03, 6.953097887483759010e-01, 3.154825024807532784e+06, 2.193580721537015401e+06, 3.208358252231060178e+05, 1.210675657359417755e+03, 6.951669496373610855e+02
1.175351870919105522e+03, 7.082049208877936319e-01, 3.440385534635405988e+06, 2.436497965379977133e+06, 4.119755133390173432e+05, 1.542585459208685734e+03, 9.190683933907450864e+02
1.313046510718427498e+03, 7.207221187616845715e-01, 3.740060048389872070e+06, 2.695544002371476963e+06, 5.279426278846105561e+05, 1.972532321149699101e+03, 1.214137530836629594e+03
1.466872331569631797e+03, 7.336456385712422090e-01, 4.060846252822570503e+06, 2.979222142291650642e+06, 6.723294578816966387e+05, 2.542991309759399883e+03, 1.635979358636152938e+03
1.638719131089444090e+03, 7.473609208980731555e-01, 4.396014204124474898e+06, 3.285409223875477910e+06, 8.524920137425510911e+05, 3.269584102006042485e+03, 2.188130868072287740e+03
1.830698100171417309e+03, 7.613547989400799576e-01, 4.755513783678180538e+06, 3.620633240629080217e+06, 1.074313140011707786e+06, 4.236166859349605147e+03, 2.962081549070033816e+03
2.045167759616708281e+03, 7.761810074430914863e-01, 5.131184971165783703e+06, 3.982728320296308491e+06, 1.342147090856410330e+06, 5.424713207356675412e+03, 3.935768480724993424e+03
2.284762935288990320e+03, 7.902917938247455698e-01, 5.518226711637213826e+06, 4.361009286671401002e+06, 1.658031424015362980e+06, 6.891681191061511527e+03, 5.189447686651678850e+03
2.552427127762217424e+03, 8.037213442286327281e-01, 5.919394111232703552e+06, 4.757543392099001445e+06, 2.023225626487166155e+06, 8.672769793213135927e+03, 6.753743127614538025e+03
2.851448674132330325e+03, 8.179107662911706544e-01, 6.323983580514241941e+06, 5.172454256351185031e+06, 2.444216701498100068e+06, 1.099785556295914648e+04, 8.836380605821825156e+03
3.185501146251913724e+03, 8.314755820049040125e-01, 6.739904832371580414e+06, 5.604066293153825216e+06, 2.914852914724727627e+06, 1.377572525267939818e+04, 1.138696403137160814e+04
3.558688481692563983e+03, 8.452594941651472293e-01, 7.162102140361500904e+06, 6.053834832321080379e+06, 3.436781089488625992e+06, 1.710598090721515473e+04, 1.450891574815053355e+04
3.975595401882746501e+03, 8.585701036232628036e-01, 7.581593306388298050e+06, 6.509329350695236586e+06, 4.006122965908072889e+06, 2.128125221063337449e+04, 1.856521237135351112e+04
4.441343736823509971e+03, 8.718925866633692179e-01, 7.988451363491903059e+06, 6.965071522749474272e+06, 4.600193430373759940e+06, 2.568924144967826578e+04, 2.287006305801900817e+04
4.961655348348546795e+03, 8.845989097715947214e-01, 8.389111664189640433e+06, 7.420999032094324939e+06, 5.225377833169001155e+06, 3.124244454477448016e+04, 2.841609540664083397e+04
5.542922424960239368e+03, 8.972025089878238324e-01, 8.787318728758005425e+06, 7.884004410717377439e+06, 5.876670699483343400e+06, 3.743315497553037858e+04, 3.457439698609428160e+04
6.192286011835419231e+03, 9.088366463193426892e-01, 9.157410795996215194e+06, 8.322590516801742837e+06, 6.516933700255225413e+06, 4.393588197650619259e+04, 4.118222898179422191e+04
6.917723740766163246e+03, 9.198221429132306115e-01, 9.496088616566659883e+06, 8.734712580584280193e+06, 7.142236666780479252e+06, 5.091203152453599614e+04, 4.830578767870826414e+04
7.728147837824985800e+03, 9.302805489462340205e-01, 9.808244587191209197e+06, 9.124419158771166578e+06, 7.747453616271550767e+06, 5.905435935286021413e+04, 5.662717773603316891e+04
8.633514612808796301e+03, 9.402371781668119599e-01, 1.009490835667692684e+07, 9.491608147134482861e+06, 8.319063776249820367e+06, 6.742429831840722181e+04, 6.517325264075084124e+04
9.644946775573191189e+03, 9.487437588533721433e-01, 1.033072627530067042e+07, 9.801212078114055097e+06, 8.817906602352648973e+06, 7.531942231466830708e+04, 7.328657088698347798e+04
1.077487008195092858e+04, 9.565366755219285588e-01, 1.052371770642487146e+07, 1.006632194903490134e+07, 9.258631695510352030e+06, 8.342408877383272920e+04, 8.161964317425276386e+04
1.203716598799184794e+04, 9.636135293193056617e-01, 1.066197609918671101e+07, 1.027402441845539026e+07, 9.624751051431179047e+06, 9.058864648896495055e+04, 8.900182337982431636e+04
1.344734218792855427e+04, 9.698721087375995475e-01, 1.075947974779930152e+07, 1.043531931191760488e+07, 9.922406068957222626e+06, 9.724974052348312398e+04, 9.591580196655877808e+04
